# tau rho ord score
21.200 35.000 0.980 170.54836374882524
21.200 35.000 1.000 192.34875892737264
21.200 36.000 0.800 68.2787073582984
21.200 36.000 0.820 65.56258261665901
21.200 36.000 0.840 65.7474607804737
21.200 36.000 0.860 68.45737649963823
21.200 36.000 0.880 76.26543437829547
21.200 36.000 0.900 88.88582611421423
21.200 36.000 0.920 107.78656012803295
21.200 36.000 0.940 127.88433317429453
21.200 36.000 0.960 148.69207694398366
21.200 36.000 0.980 170.4913077136501
21.200 36.000 1.000 192.2905384833164
21.200 37.000 0.800 67.24600943855066
21.200 37.000 0.820 63.51772822004404
21.200 37.000 0.840 63.73109495734082
21.200 37.000 0.860 66.51037801225905
21.200 37.000 0.880 74.38230170390815
21.200 37.000 0.900 87.7353357984734
21.200 37.000 0.920 107.30213558120579
21.200 37.000 0.940 127.38937765905811
21.200 37.000 0.960 148.63900346889312
21.200 37.000 0.980 170.43712854116174
21.200 37.000 1.000 192.23525361343036
21.200 38.000 0.800 66.25224806053897
21.200 38.000 0.820 61.50140068658442
21.200 38.000 0.840 61.75506477683248
21.200 38.000 0.860 64.75746210947446
21.200 38.000 0.880 72.63613063776101
21.200 38.000 0.900 86.84218453987178
21.200 38.000 0.920 106.82224238146318
21.200 38.000 0.940 126.89905199845148
21.200 38.000 0.960 148.5887770902501
